"Year","Quarter","Month","Group","Unit","Population","Deflator","Total Disposable Income (nominal $)","Total Factor Income (nominal $)","Total Posttax Income (nominal $)","Total Pretax Income (nominal $)","Disposable Income Per Unit (nominal $)","Factor Income Per Unit (nominal $)","Posttax Income Per Unit (nominal $)","Pretax Income Per Unit (nominal $)","Disposable Income Share","Factor Income Share","Posttax Income Share","Pretax Income Share"
"1976","2","5","Top 1%","Adults","1434361.3920384932","0.25635439","101070124692.2527","167617980864.9257","123400050191.9259","167807666955.1518","70463.5005189406","116858.9602280842","86031.3522637078","116991.2045085556","0.0808896474","0.1053105646","0.0775294446","0.1054297402"
"1976","2","6","Top 1%","Adults","1436805.312656886","0.25729281","101312424211.9977","168114892892.0177","123712379763.7653","168227778163.8744","70512.2839674462","117006.0351330035","86102.3958319037","117084.6019860505","0.0806803172","0.1051226086","0.0773576204","0.1051931959"
"1976","3","7","Top 1%","Adults","1439224.587948815","0.25816715","101944971941.4356","169082473084.5737","124089802379.925","168885669207.2162","70833.2617404263","117481.6456725147","86219.9016185361","117344.9026797911","0.0802065114","0.1048843969","0.0769747681","0.1047623168"
"1976","3","8","Top 1%","Adults","1441633.664589831","0.2594358","102161990339.6373","169613985753.2183","124565337786.4581","169423937976.5252","70865.4305521536","117654.0128878555","86405.680476322","117522.1848226811","0.0797931527","0.1043869474","0.0766622829","0.1042699847"
"1976","3","9","Top 1%","Adults","1444019.61898973","0.26102722","102406705904.4333","169760215348.9058","124907617601.8952","169575066349.9453","70917.8078730533","117560.8787557014","86499.9449864009","117432.6609693738","0.079582792","0.103897528","0.0764466085","0.1037842121"
"1976","4","10","Top 1%","Adults","1446440.045978788","0.26280972","100696706943.3319","169027498046.7293","123440253551.4054","168827556397.0506","69616.9241326499","116857.5901342323","85340.7328527571","116719.3599668399","0.0780542786","0.1030849008","0.0752825802","0.1029629624"
"1976","4","11","Top 1%","Adults","1448893.9627898482","0.26418245","100456163778.4361","169980232800.272","123373291334.8553","169748502001.9641","69332.999072622","117317.2345013949","85149.9795729011","117157.2981608075","0.0770067436","0.1025312468","0.0744181668","0.1023914679"
"1976","4","12","Top 1%","Adults","1451360.7162014532","0.26560682","99523734057.54436","170786790772.3694","122894095227.08","170577213946.1455","68572.7076298585","117673.5658240482","84675.0872165827","117529.165590609","0.0757921073","0.1020537926","0.073435471","0.1019285598"
"1977","1","1","Top 1%","Adults","1453862.9110461688","0.26686192","99773562575.2568","172407946297.7486","123716756071.0772","172459367968.0855","68626.5271761159","118586.1094521543","85095.2006073621","118621.4784473644","0.0758898124","0.1024643684","0.0735265376","0.1024949294"
"1977","1","2","Top 1%","Adults","1456426.41","0.26868793","100273618101.0295","175155832244.0894","125001024243.1829","175309305239.3908","68849.0797835982","120264.1143015866","85827.2161126101","120369.4907176195","0.0757761181","0.1029420273","0.073465203","0.1030322259"
