"Year","Quarter","Group","Unit","Population","Deflator","Total Wealth (nominal $)","Wealth Per Unit (nominal $)","Wealth Share"
"2010","2","Top 0.1%","Households","168395.7617077021","0.79242516","8693117150621.643","51623135.06269223","0.1774349063"
"2010","3","Top 0.1%","Households","168810.7286378292","0.79481912","9264105644879.896","54878654.453031495","0.1815886819"
"2010","4","Top 0.1%","Households","169239.7014191705","0.79947507","9801796281436.738","57916648.3942192","0.1861998984"
"2011","1","Top 0.1%","Households","169802.6451659299","0.80360258","10182872735556.09","59968869.89366662","0.1895955756"
"2011","2","Top 0.1%","Households","170541.6975743997","0.80891061","10253504239947.35","60123151.028646275","0.1902771426"
"2011","3","Top 0.1%","Households","171318.3801034732","0.81391323","9678225427281.957","56492627.47777841","0.1873948592"
"2011","4","Top 0.1%","Households","172040.403026076","0.81489551","10023674254631.71","58263489.728703044","0.1891040792"
"2012","1","Top 0.1%","Households","172632.666078045","0.81984043","10751127838081.21","62277482.48538759","0.1948763705"
"2012","2","Top 0.1%","Households","173011.5150498813","0.82314241","10808380477531.2","62472029.53176274","0.1967417216"
"2012","3","Top 0.1%","Households","173242.9617707773","0.82741034","11397587284214.04","65789612.27466493","0.2006297403"
"2012","4","Top 0.1%","Households","173480.0242571541","0.83160394","11720126921394.78","67558942.14092177","0.2031159058"
"2013","1","Top 0.1%","Households","173884.4394968919","0.83493078","12274207423903.63","70588302.54976913","0.2036497727"
"2013","2","Top 0.1%","Households","174550.6531919205","0.83730006","12250886680443.07","70185281.21446258","0.2012856493"
"2013","3","Top 0.1%","Households","175332.6047960175","0.84124589","12537502411482.15","71506964.86867529","0.1991035276"
"2013","4","Top 0.1%","Households","176108.0554877906","0.84627324","12780742725972.72","72573299.90142782","0.1966481274"
"2014","1","Top 0.1%","Households","176789.0206394212","0.8497982","13217087645267.65","74761925.81113517","0.1985648993"
"2014","2","Top 0.1%","Households","177271.7482600533","0.85461098","13645498111004.72","76975029.8337844","0.1994415936"
"2014","3","Top 0.1%","Households","177615.7685622891","0.85834223","13616966036704.99","76665299.184456","0.1979628884"
"2014","4","Top 0.1%","Households","177988.9958496638","0.85977042","14077201855964.96","79090293.1316894","0.1995548933"
"2015","1","Top 0.1%","Households","178572.2774443167","0.859465","14478877191864.75","81081326.83909813","0.2006744265"
"2015","2","Top 0.1%","Households","179445.7012940515","0.8641209","14571505857840.29","81202869.46279344","0.2010141905"
"2015","3","Top 0.1%","Households","180375.4306299994","0.86669642","14064881376936.09","77975594.16940273","0.1979171881"
"2015","4","Top 0.1%","Households","181147.3542745472","0.86661386","14381843677851.3","79393065.02955687","0.1975236797"
"2016","1","Top 0.1%","Households","181588.765038105","0.86592042","14562718956821.2","80196145.14017607","0.1971332443"
"2016","2","Top 0.1%","Households","181536.8884774734","0.87203753","14762690569343.3","81320610.33521117","0.196607631"
"2016","3","Top 0.1%","Households","181193.4108233075","0.87445623","15067166819557.61","83155158.6290878","0.1964088026"
"2016","4","Top 0.1%","Households","180824.316576873","0.87906259","15156372888985.61","83818222.99072398","0.1960307935"
"2017","1","Top 0.1%","Households","180656.7255950922","0.88350385","15619261674925.29","86458235.216401","0.1960838489"
"2017","2","Top 0.1%","Households","180881.5543598183","0.8863436","15852361395627.83","87639458.05161287","0.1953363332"
"2017","3","Top 0.1%","Households","181366.805258418","0.89075184","16139743841516.96","88989513.92191349","0.1941781105"
"2017","4","Top 0.1%","Households","181947.4835534536","0.89708346","16711726577459.01","91849176.75736548","0.1947044248"
